0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/js/plugin/datatables/datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/js/plugin/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 200 60601
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/js/plugin/jqvmap/jquery.vmap.min.js HTTP/1.1" 200 21172
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/js/plugin/gmaps/gmaps.js HTTP/1.1" 200 31793
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/js/plugin/sweetalert/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/js/ready.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/js/setting-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/img/profile.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/img/chadengle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/img/mlane.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/img/talha.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /assets/js/plugin/jquery-ui-touch-punch/jquery.ui.touch-punch.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /top/assets/img/profile2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [27/Mar/2020:18:08:43 +0900] "GET /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 404 823
